GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
commander,com.iluwatar.commander.paymentservice,PaymentDatabase,0,22,0,0,0,4,0,3,0,3
commander,com.iluwatar.commander.paymentservice,PaymentService,5,49,3,1,1,10,2,3,0,3
commander,com.iluwatar.commander.employeehandle,EmployeeDatabase,0,22,0,0,0,4,0,3,0,3
commander,com.iluwatar.commander.employeehandle,EmployeeHandle,2,35,1,1,1,7,1,3,0,3
commander,com.iluwatar.commander.messagingservice,MessagingService.MessageToSend,0,34,0,0,0,4,0,1,0,1
commander,com.iluwatar.commander.messagingservice,MessagingService,2,85,1,9,1,22,1,9,0,5
commander,com.iluwatar.commander.messagingservice,MessagingDatabase,0,22,0,0,0,4,0,3,0,3
commander,com.iluwatar.commander,Service,10,54,3,3,2,14,2,4,0,3
commander,com.iluwatar.commander,Retry,3,91,0,4,1,23,1,5,1,3
commander,com.iluwatar.commander,Order,10,76,3,3,2,21,2,4,0,3
commander,com.iluwatar.commander,AppPaymentFailCases,340,0,0,0,41,0,5,0,5,0
commander,com.iluwatar.commander,Order.PaymentStatus,0,34,0,0,0,4,0,1,0,1
commander,com.iluwatar.commander,Order.MessageSent,0,44,0,0,0,5,0,1,0,1
commander,com.iluwatar.commander,Database,0,3,0,0,0,1,0,1,0,1
commander,com.iluwatar.commander,AppMessagingFailCases,655,0,0,0,51,0,6,0,6,0
commander,com.iluwatar.commander,Commander,208,1389,42,110,47,323,40,90,9,45
commander,com.iluwatar.commander,AppQueueFailCases,685,0,0,0,51,0,6,0,6,0
commander,com.iluwatar.commander,AppEmployeeDbFailCases,307,0,0,0,31,0,4,0,4,0
commander,com.iluwatar.commander,AppShippingFailCases,403,0,0,0,51,0,6,0,6,0
commander,com.iluwatar.commander.exceptions,ShippingNotPossibleException,0,3,0,0,0,1,0,1,0,1
commander,com.iluwatar.commander.exceptions,ItemUnavailableException,0,3,0,0,0,1,0,1,0,1
commander,com.iluwatar.commander.exceptions,PaymentDetailsErrorException,0,3,0,0,0,1,0,1,0,1
commander,com.iluwatar.commander.exceptions,DatabaseUnavailableException,0,3,0,0,0,1,0,1,0,1
commander,com.iluwatar.commander.exceptions,IsEmptyException,0,3,0,0,0,1,0,1,0,1
commander,com.iluwatar.commander.queue,QueueDatabase,2,31,0,0,1,8,1,4,1,4
commander,com.iluwatar.commander.queue,Queue,4,76,1,7,1,18,1,8,0,5
commander,com.iluwatar.commander.queue,QueueTask.TaskType,0,34,0,0,0,4,0,1,0,1
commander,com.iluwatar.commander.queue,Queue.Node,0,9,0,0,0,4,0,1,0,1
commander,com.iluwatar.commander.queue,QueueTask,0,22,0,6,0,7,0,4,0,1
commander,com.iluwatar.commander.shippingservice,ShippingService,2,53,1,1,1,11,1,3,0,3
commander,com.iluwatar.commander.shippingservice,ShippingDatabase,0,22,0,0,0,4,0,3,0,3
