GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
data-transfer-object,com.iluwatar.datatransfer,App,3,217,0,0,1,57,1,4,1,4
data-transfer-object,com.iluwatar.datatransfer.product,ProductDto.Response.Public,9,26,0,0,3,8,3,5,3,5
data-transfer-object,com.iluwatar.datatransfer.product,ProductDto.Request,4,0,0,0,1,0,1,0,1,0
data-transfer-object,com.iluwatar.datatransfer.product,ProductDto.Response.Private,12,33,0,0,4,10,4,6,4,6
data-transfer-object,com.iluwatar.datatransfer.product,Product,0,12,0,0,0,1,0,1,0,1
data-transfer-object,com.iluwatar.datatransfer.product,ProductResource,0,83,0,0,0,23,0,7,0,7
data-transfer-object,com.iluwatar.datatransfer.product,ProductDto.Request.Create,0,35,0,0,0,13,0,9,0,9
data-transfer-object,com.iluwatar.datatransfer.product,ProductDto,4,0,0,0,1,0,1,0,1,0
data-transfer-object,com.iluwatar.datatransfer.product,ProductDto.Response,4,0,0,0,1,0,1,0,1,0
data-transfer-object,com.iluwatar.datatransfer.customer,CustomerResource,0,21,0,0,0,5,0,4,0,4
