GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hexagonal,com.iluwatar.hexagonal,App,3,29,0,0,1,7,1,1,1,1
hexagonal,com.iluwatar.hexagonal.domain,LotteryTicketCheckResult,0,9,0,0,0,4,0,1,0,1
hexagonal,com.iluwatar.hexagonal.domain,LotteryTicketId,11,13,0,0,1,4,1,2,1,2
hexagonal,com.iluwatar.hexagonal.domain,LotteryNumbers.RandomNumberGenerator,0,18,0,0,0,4,0,2,0,2
hexagonal,com.iluwatar.hexagonal.domain,LotteryTicketCheckResult.CheckResult,0,34,0,0,0,4,0,1,0,1
hexagonal,com.iluwatar.hexagonal.domain,LotteryUtils,0,30,0,4,0,6,0,3,0,1
hexagonal,com.iluwatar.hexagonal.domain,LotteryNumbers,6,61,0,2,1,18,1,7,1,6
hexagonal,com.iluwatar.hexagonal.domain,LotteryTicket,50,33,13,7,11,9,10,2,1,1
hexagonal,com.iluwatar.hexagonal.domain,LotteryService,0,53,1,3,0,16,1,4,0,3
hexagonal,com.iluwatar.hexagonal.domain,LotteryAdministration,19,67,4,4,3,20,3,5,0,4
hexagonal,com.iluwatar.hexagonal.module,LotteryTestingModule,0,22,0,0,0,5,0,2,0,2
hexagonal,com.iluwatar.hexagonal.module,LotteryModule,22,0,0,0,5,0,2,0,2,0
hexagonal,com.iluwatar.hexagonal.service,ConsoleLottery,122,0,12,0,35,0,11,0,5,0
hexagonal,com.iluwatar.hexagonal.service,LotteryConsoleServiceImpl,222,0,4,0,57,0,10,0,8,0
hexagonal,com.iluwatar.hexagonal.banking,InMemoryBank,0,66,0,2,0,13,0,6,0,5
hexagonal,com.iluwatar.hexagonal.banking,MongoBank,21,124,2,2,9,29,6,7,4,7
hexagonal,com.iluwatar.hexagonal.database,InMemoryTicketRepository,0,31,0,0,0,9,0,6,0,6
hexagonal,com.iluwatar.hexagonal.database,MongoTicketRepository,259,0,4,0,59,0,15,0,13,0
hexagonal,com.iluwatar.hexagonal.administration,ConsoleAdministrationSrvImpl,46,0,0,0,14,0,5,0,5,0
hexagonal,com.iluwatar.hexagonal.administration,ConsoleAdministration,109,0,10,0,33,0,10,0,5,0
hexagonal,com.iluwatar.hexagonal.sampledata,SampleData,3,425,0,2,1,17,1,5,1,4
hexagonal,com.iluwatar.hexagonal.mongo,MongoConnectionPropertiesLoader,54,0,2,0,16,0,3,0,2,0
hexagonal,com.iluwatar.hexagonal.eventlog,MongoEventLog,253,0,2,0,59,0,13,0,12,0
hexagonal,com.iluwatar.hexagonal.eventlog,StdOutEventLog,29,27,0,0,6,11,2,5,2,5
