GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prototype,com.iluwatar.prototype,Mage,3,0,0,0,2,0,1,0,1,0
prototype,com.iluwatar.prototype,ElfMage,8,4,0,0,3,1,1,1,1,1
prototype,com.iluwatar.prototype,OrcWarlord,8,4,0,0,3,1,1,1,1,1
prototype,com.iluwatar.prototype,ElfBeast,8,4,0,0,3,1,1,1,1,1
prototype,com.iluwatar.prototype,Beast,3,0,0,0,2,0,1,0,1,0
prototype,com.iluwatar.prototype,ElfWarlord,8,4,0,0,3,1,1,1,1,1
prototype,com.iluwatar.prototype,HeroFactoryImpl,0,15,0,0,0,3,0,3,0,3
prototype,com.iluwatar.prototype,OrcBeast,8,4,0,0,3,1,1,1,1,1
prototype,com.iluwatar.prototype,Prototype,3,10,0,0,1,3,0,3,0,3
prototype,com.iluwatar.prototype,OrcMage,8,4,0,0,3,1,1,1,1,1
prototype,com.iluwatar.prototype,App,3,79,0,0,1,16,1,2,1,2
prototype,com.iluwatar.prototype,Warlord,3,0,0,0,2,0,1,0,1,0
