GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reactor,com.iluwatar.reactor.framework,SameThreadDispatcher,0,11,0,0,0,4,0,3,0,3
reactor,com.iluwatar.reactor.framework,NioDatagramChannel.DatagramPacket,0,23,0,0,0,10,0,6,0,6
reactor,com.iluwatar.reactor.framework,NioDatagramChannel,0,79,0,0,0,21,0,8,0,8
reactor,com.iluwatar.reactor.framework,NioServerSocketChannel,0,75,0,2,0,21,0,8,0,7
reactor,com.iluwatar.reactor.framework,ThreadPoolDispatcher,0,36,1,1,0,9,1,4,0,4
reactor,com.iluwatar.reactor.framework,NioReactor,13,217,3,13,6,72,3,19,0,14
reactor,com.iluwatar.reactor.framework,AbstractNioChannel,0,94,1,5,0,25,1,8,0,6
reactor,com.iluwatar.reactor.framework,NioReactor.ChangeKeyOpsCommand,4,19,0,0,1,6,1,2,1,2
reactor,com.iluwatar.reactor.app,LoggingHandler,5,69,1,3,1,21,1,7,0,6
reactor,com.iluwatar.reactor.app,AppClient.UdpLoggingClient,9,74,1,3,3,18,1,3,0,2
reactor,com.iluwatar.reactor.app,App,9,98,0,2,2,27,1,6,1,5
reactor,com.iluwatar.reactor.app,AppClient.TcpLoggingClient,14,69,1,3,4,19,1,4,0,3
reactor,com.iluwatar.reactor.app,AppClient,17,73,1,1,7,19,2,5,1,5
