GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
saga,com.iluwatar.saga.choreography,WithdrawMoneyService,0,28,0,2,0,10,0,4,0,3
saga,com.iluwatar.saga.choreography,SagaApplication,68,0,0,0,21,0,5,0,5,0
saga,com.iluwatar.saga.choreography,Saga.ChapterResult,0,34,0,0,0,2,0,1,0,1
saga,com.iluwatar.saga.choreography,Saga.SagaResult,0,34,0,0,0,2,0,1,0,1
saga,com.iluwatar.saga.choreography,FlyBookingService,0,6,0,0,0,3,0,2,0,2
saga,com.iluwatar.saga.choreography,ServiceDiscoveryService,0,32,0,0,0,7,0,4,0,4
saga,com.iluwatar.saga.choreography,OrderService,0,6,0,0,0,3,0,2,0,2
saga,com.iluwatar.saga.choreography,Service,12,132,0,10,1,40,1,13,1,8
saga,com.iluwatar.saga.choreography,Saga,14,138,2,8,4,30,3,18,1,15
saga,com.iluwatar.saga.choreography,Saga.Chapter,0,31,0,2,0,11,0,7,0,6
saga,com.iluwatar.saga.choreography,HotelBookingService,0,6,0,0,0,3,0,2,0,2
saga,com.iluwatar.saga.orchestration,ChapterResult,0,32,0,2,0,8,0,6,0,5
saga,com.iluwatar.saga.orchestration,Saga.Chapter,3,6,0,0,1,3,1,1,1,1
saga,com.iluwatar.saga.orchestration,Service,0,25,0,0,0,8,0,4,0,4
saga,com.iluwatar.saga.orchestration,OrderService,0,5,0,0,0,2,0,2,0,2
saga,com.iluwatar.saga.orchestration,ServiceDiscoveryService,0,25,0,0,0,6,0,3,0,3
saga,com.iluwatar.saga.orchestration,SagaApplication,3,70,0,0,1,18,1,4,1,4
saga,com.iluwatar.saga.orchestration,WithdrawMoneyService,0,26,0,4,0,7,0,5,0,3
saga,com.iluwatar.saga.orchestration,Saga,0,39,0,4,0,8,0,7,0,5
saga,com.iluwatar.saga.orchestration,FlyBookingService,0,5,0,0,0,2,0,2,0,2
saga,com.iluwatar.saga.orchestration,SagaOrchestrator.CurrentState,0,42,0,0,0,13,0,7,0,7
saga,com.iluwatar.saga.orchestration,HotelBookingService,0,28,0,2,0,9,0,4,0,3
saga,com.iluwatar.saga.orchestration,Saga.Result,0,34,0,0,0,2,0,1,0,1
saga,com.iluwatar.saga.orchestration,ChapterResult.State,0,24,0,0,0,2,0,1,0,1
saga,com.iluwatar.saga.orchestration,SagaOrchestrator,8,113,1,13,3,31,1,9,0,3
