GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service-layer,com.iluwatar.servicelayer.spellbook,SpellbookDaoImpl,7,47,2,0,4,13,1,2,0,2
service-layer,com.iluwatar.servicelayer.spellbook,Spellbook,11,48,0,0,5,18,3,9,3,9
service-layer,com.iluwatar.servicelayer.wizard,Wizard,7,42,0,0,3,16,2,8,2,8
service-layer,com.iluwatar.servicelayer.wizard,WizardDaoImpl,7,47,2,0,4,13,1,2,0,2
service-layer,com.iluwatar.servicelayer.common,DaoBaseImpl,35,150,10,0,20,50,5,7,0,7
service-layer,com.iluwatar.servicelayer.common,BaseEntity,0,3,0,0,0,1,0,1,0,1
service-layer,com.iluwatar.servicelayer.hibernate,HibernateUtil,10,40,0,2,3,16,0,4,0,3
service-layer,com.iluwatar.servicelayer.magic,MagicServiceImpl,0,49,0,0,0,13,0,6,0,6
service-layer,com.iluwatar.servicelayer.app,App,3,468,0,0,1,116,1,6,1,6
service-layer,com.iluwatar.servicelayer.spell,Spell,0,33,0,0,0,15,0,9,0,9
service-layer,com.iluwatar.servicelayer.spell,SpellDaoImpl,7,47,2,0,4,13,1,2,0,2
