GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
special-case,com.iluwatar.specialcase,InsufficientFunds,0,26,0,0,0,8,0,3,0,3
special-case,com.iluwatar.specialcase,ReceiptDto,0,25,0,0,0,7,0,4,0,4
special-case,com.iluwatar.specialcase,MoneyTransaction,0,9,0,0,0,4,0,1,0,1
special-case,com.iluwatar.specialcase,DomainServicesImpl,0,59,0,6,0,14,0,6,0,3
special-case,com.iluwatar.specialcase,Db.Account,0,28,0,2,0,7,0,4,0,3
special-case,com.iluwatar.specialcase,Db.Product,0,12,0,0,0,4,0,2,0,2
special-case,com.iluwatar.specialcase,Db,2,103,1,7,1,24,1,10,0,7
special-case,com.iluwatar.specialcase,Db.User,0,18,0,0,0,5,0,3,0,3
special-case,com.iluwatar.specialcase,OutOfStock,0,30,0,0,0,7,0,3,0,3
special-case,com.iluwatar.specialcase,DownForMaintenance,0,11,0,0,0,4,0,3,0,3
special-case,com.iluwatar.specialcase,App,3,90,0,0,1,23,1,2,1,2
special-case,com.iluwatar.specialcase,InvalidUser,0,22,0,0,0,6,0,3,0,3
special-case,com.iluwatar.specialcase,ApplicationServicesImpl,0,24,0,2,0,6,0,4,0,3
special-case,com.iluwatar.specialcase,MaintenanceLock,0,30,0,2,0,10,0,6,0,5
